sbert_pca_0,sbert_pca_1,sbert_pca_2,sbert_pca_3,sbert_pca_4,sbert_pca_5,sbert_pca_6,sbert_pca_7,sbert_pca_8,sbert_pca_9
-0.19032249,0.0586679,0.06575149,-0.18815883,0.20946807,0.1289792,0.017707825,-0.11555754,0.019781508,0.03151561
-0.24668036,-0.1783998,0.36836138,0.124861464,0.25770995,-0.12835412,0.18631834,0.02379552,-0.2109797,-0.1836869
-0.053775594,0.062457025,0.026110906,-0.13954137,0.16702884,0.1516059,0.0065829232,0.021382978,0.055202663,0.05794328
0.0074692667,0.06237316,0.034013506,-0.1299086,0.1987537,0.055197924,-0.018000208,0.12153347,0.032292463,0.052606422
-0.027586505,0.089981616,0.0882756,-0.16122696,0.14349322,0.037157893,-0.05429727,0.030310765,0.041032456,0.10451841
-0.009881437,0.09292781,0.060815293,-0.16100013,0.10077283,0.009527296,-0.003336206,0.053362545,0.03845544,0.08215043
-0.07372378,0.094375074,0.09097744,-0.17246976,0.13910556,0.04436688,0.0034412593,-0.005669497,-0.010769416,0.06889491
-0.19056645,-0.1301947,0.1774148,0.032434717,0.23288026,-0.03414724,0.30670762,0.104205996,-0.13748863,-0.05121033
-0.13484022,0.0020683408,0.20316733,-0.006234478,0.13120236,0.1222406,-0.032190286,0.043517906,-0.06820971,-0.0065514594
-0.10438377,0.02750212,0.12406507,-0.014113035,0.13719042,0.12631357,-0.111355394,0.0035316162,-0.005270943,-0.014939817
-0.0053032786,-0.008614004,0.24967326,-0.03366982,0.12302792,0.021472842,-0.14262123,-0.014688835,-0.009207193,0.0020389892
0.0167218,-0.00881511,0.24928312,0.01613539,-0.03001188,-0.008935198,-0.0204001,0.04250649,-0.1384105,0.065732434
0.09685029,0.017928064,0.2654209,-0.058077183,-0.026620938,0.0041424036,-0.0835481,0.013609478,-0.1226105,0.11927763
0.047883883,0.0028566122,0.28118157,-0.04819629,-0.004009219,0.014419183,-0.14127073,0.11436048,-0.16624266,0.020797849
0.07170002,0.0054118037,0.28076774,-0.036576245,-0.043732308,-0.0040688515,-0.15295564,0.13170666,-0.13160677,-0.04635562
0.1273279,-0.022590756,0.33830914,-0.05482914,-0.0045846943,0.07456629,-0.17081907,0.06669467,-0.090711065,0.08217342
0.16896148,-0.035933435,0.34621328,-0.07739207,-0.015970876,0.042043686,-0.17875941,0.051147696,-0.044647556,0.07801296
0.14709638,-0.059525102,0.36349648,-0.0586912,0.0093442425,0.053447723,-0.18920414,-0.014588632,-0.056378998,0.05821414
0.10292487,0.017429352,0.25387895,-0.037243243,0.0053873416,0.09420112,-0.15198456,0.0041676573,-0.07352741,-0.08013545
0.13289212,-0.012960345,0.26715112,-0.023863379,0.03301227,0.12712723,-0.10787302,0.034939297,-0.021009471,-0.07799521
0.14660297,-0.010053635,0.25600067,-0.040771786,0.02308753,0.1130283,-0.0942063,0.027213909,-0.01562839,-0.06035643
-0.24188137,-0.26441193,0.27683967,0.16573271,0.22982194,-0.2452105,0.3578968,0.18633279,-0.2291652,-0.24266624
0.21570091,-0.11991596,0.39055356,-0.057189804,-0.0076462347,-0.03217686,-0.06868082,0.08014569,-0.042051554,-0.052041553
0.1522838,-0.030694455,0.28976968,-0.054184828,0.06284322,0.0786272,-0.065088496,-0.030408997,-0.017358027,-0.05740924
0.2123606,-0.08335686,0.29647258,-0.016674187,-0.0056361463,0.06460838,-0.0450631,0.048280876,-0.026557148,-0.02157265
0.2585507,-0.050103515,0.2539726,-0.04051427,-0.049715027,0.0429987,-0.03821861,0.0024668798,0.028472826,-0.05530193
0.28400338,-0.08349499,0.28649235,-0.006275099,-0.063441604,0.04394321,0.0170645,-0.00027868524,0.019473098,-0.042040817
0.28295314,-0.038487762,0.20389336,-0.02722117,-0.08800243,0.01904723,-0.04370472,-0.042102415,0.083730094,-0.07719271
0.24783672,-0.03531468,0.13087654,-0.035960536,-0.10906621,-0.11747071,0.04503275,0.048916742,0.15521142,-0.17179091
